field1,field2,field3
-14,-22,1034
-14,-23,1034
-20,-23,1033
-18,-20,1032
-20,-18,1040
-20,-23,1030
-17,-20,1030
-19,-22,1032
-15,-24,1033
-20,-17,1039
-18,-23,1028
-12,-20,1035
-16,-23,1036
-19,-16,1038
-15,-25,1040
-18,-20,1027
-18,-23,1038
-21,-19,1039
-19,-17,1032
-18,-21,1037
-15,-19,1036
-16,-17,1033
-16,-19,1029
-19,-18,1036
-19,-24,1032
-18,-17,1028
-19,-20,1034
-21,-23,1033
-16,-19,1031
-18,-18,1035
-18,-23,1029
-22,-20,1033
-17,-22,1036
-18,-18,1036
-13,-23,1037
-20,-19,1038
-17,-17,1038
-16,-17,1032
-20,-22,1038
-13,-22,1035
-15,-19,1035
-17,-18,1032
-18,-22,1032
-20,-22,1034
-17,-20,1036
-14,-22,1036
-21,-18,1033
-21,-22,1035
-23,-20,1034
-19,-20,1036
-16,-18,1032
-18,-19,1031
-17,-20,1038
-18,-21,1033
-18,-17,1032
-18,-21,1034
-16,-27,1030
-18,-22,1040
-14,-19,1032
-18,-18,1030
-15,-21,1031
-17,-20,1035
-21,-17,1035
-20,-19,1034
-17,-22,1035
-22,-23,1035
-22,-17,1031
-21,-19,1034
-19,-24,1031
-19,-20,1036
-20,-21,1032
-19,-17,1033
-17,-19,1029
-15,-23,1028
-15,-22,1029
-18,-24,1033
-19,-16,1034
-21,-22,1038
-22,-16,1036
-15,-19,1037
-20,-22,1032
-18,-19,1030
-17,-17,1038
-12,-20,1036
-14,-20,1036
-19,-19,1031
-15,-21,1035
-16,-19,1039
-18,-21,1034
-16,-22,1034
-19,-22,1034
-21,-19,1033
-21,-24,1028
-20,-22,1031
-19,-19,1034
-21,-18,1029
-19,-19,1032
-18,-23,1032
-20,-24,1036
-18,-19,1033
-17,-19,1031
-19,-19,1037
-15,-17,1028
-21,-26,1034
-15,-20,1029
-18,-22,1031
-16,-20,1035
-18,-23,1030
-18,-23,1032
-17,-23,1034
-15,-20,1035
-18,-22,1035
-19,-19,1031
-17,-15,1035
-14,-20,1031
-21,-18,1037
-20,-23,1037
-20,-21,1035
-18,-20,1037
-21,-17,1034
-14,-20,1035
-18,-22,1029
-18,-21,1034
-15,-18,1032
-15,-22,1035
-17,-18,1033
-16,-15,1035
-17,-25,1041
-17,-16,1036
-22,-22,1035
-21,-23,1037
-18,-19,1039
-20,-21,1039
-18,-19,1035
-17,-20,1031
-15,-25,1031
-20,-23,1037
-21,-21,1030
-22,-19,1036
-20,-18,1031
-21,-18,1037
-19,-18,1031
-20,-25,1033
-24,-24,1031
-21,-19,1030
-15,-24,1034
-16,-22,1035
-22,-18,1033
-18,-24,1030
-18,-20,1036
-19,-19,1031
-20,-20,1032
-22,-25,1030
-17,-20,1030
-16,-24,1033
-21,-18,1033
-11,-20,1034
-21,-23,1030
-18,-20,1038
-15,-23,1036
-19,-24,1036
-19,-21,1035
-17,-22,1036
-14,-19,1035
-19,-18,1036
-19,-21,1037
-17,-21,1036
-17,-22,1037
-22,-21,1040
-18,-21,1031
-16,-23,1030
-17,-21,1038
-17,-22,1032
-19,-21,1034
-20,-17,1034
-18,-22,1036
-15,-24,1030
-18,-22,1030
-13,-19,1031
-13,-19,1032
-17,-24,1029
-20,-22,1031
-19,-20,1037
-17,-21,1031
-20,-21,1035
-15,-22,1038
-15,-23,1033
-17,-23,1037
-17,-21,1037
-18,-17,1033
-15,-22,1030
-19,-21,1036
-17,-19,1039
-15,-19,1031
-17,-18,1033
-15,-19,1032
-16,-21,1031
-20,-20,1031
-20,-21,1036
-17,-20,1031
-17,-18,1030
-16,-18,1034
-18,-18,1034
-22,-24,1040
-17,-20,1032
-18,-18,1031
-16,-21,1032
-20,-25,1033
-13,-18,1030
-16,-21,1030
-16,-25,1032
-19,-17,1037
-19,-24,1032
-17,-18,1034
-19,-23,1035
-21,-18,1036
-18,-20,1036
-16,-19,1030
-21,-20,1036
-14,-19,1035
-16,-26,1031
-16,-20,1029
-19,-19,1031
-18,-20,1032
-16,-22,1041
-19,-20,1039
-16,-23,1034
-17,-21,1033
-20,-23,1030
-14,-21,1032
-21,-21,1033
-14,-22,1033
-21,-18,1035
-16,-25,1032
-21,-22,1031
-19,-20,1043
-17,-16,1030
-17,-20,1030
-16,-25,1028
-15,-16,1031
-17,-20,1029
-23,-19,1032
-23,-18,1033
-22,-18,1033
-18,-22,1031
-16,-24,1033
-21,-18,1030
-19,-26,1029
-18,-21,1031
-21,-20,1031
-10,-21,1036
-18,-18,1036
-21,-18,1034
-14,-24,1027
-18,-16,1036
-21,-19,1031
-15,-18,1033
-17,-21,1029
-18,-19,1035
-18,-19,1038
-14,-22,1034
-14,-19,1031
-22,-19,1037
-20,-18,1028
-19,-22,1034
-19,-22,1030
-18,-20,1041
-18,-21,1032
-19,-23,1031
-18,-20,1031
-16,-22,1037
-17,-21,1026
-17,-18,1040
-17,-16,1036
-17,-23,1035
-19,-22,1033
-22,-22,1033
-20,-19,1037
-17,-19,1034
-18,-24,1036
-17,-22,1034
-19,-20,1036
-24,-24,1034
-17,-24,1028
-18,-18,1032
-19,-20,1035
-15,-19,1028
-19,-19,1029
-16,-21,1033
-10,-24,1038
-20,-20,1031
-19,-24,1034
-17,-24,1034
-18,-23,1036
-18,-24,1034
-19,-22,1032
-16,-22,1032
-16,-21,1034
-13,-16,1031
-20,-20,1033
-17,-18,1034
-18,-26,1032
-21,-22,1032
-15,-19,1031
-17,-21,1030
-24,-19,1030
-16,-22,1036
-19,-18,1031
-15,-22,1035
-16,-22,1032
-16,-17,1036
-22,-23,1038
-22,-18,1033
-19,-19,1035
-18,-23,1034
-14,-21,1033
-14,-19,1038
-17,-21,1036
-16,-24,1038
-16,-22,1036
-21,-21,1044
-22,-20,1034
-18,-18,1030
-19,-20,1038
-18,-21,1033
-17,-20,1036
-21,-20,1034
-18,-17,1039
-19,-21,1032
-17,-20,1030
-17,-19,1034
-18,-18,1030
-21,-21,1032
-19,-25,1037
-17,-22,1030
-17,-22,1032
-18,-22,1026
-19,-23,1036
-20,-19,1033
-15,-19,1033
-16,-19,1029
-21,-19,1030
-17,-19,1031
-21,-19,1029
-17,-26,1031
-18,-17,1030
-16,-21,1034
-17,-20,1029
-14,-18,1028
-17,-19,1034
-16,-19,1030
-13,-24,1029
-17,-19,1032
-18,-19,1037
-20,-18,1032
-17,-16,1035
-20,-20,1036
-21,-23,1031
-16,-21,1038
-19,-20,1039
-17,-22,1036
-20,-21,1035
-15,-18,1034
-18,-20,1032
-21,-21,1038
-18,-21,1030
-15,-22,1034
-17,-20,1031
-16,-21,1029
-18,-18,1034
-16,-20,1036
-15,-19,1037
-21,-22,1034
-17,-20,1037
-19,-18,1036
-22,-21,1029
-20,-21,1035
-14,-20,1035
-17,-22,1032
-15,-23,1036
-14,-20,1030
-17,-22,1033
-20,-23,1030
-20,-21,1036
-18,-18,1033
-15,-17,1035
-20,-18,1037
-21,-19,1035
-15,-18,1029
-21,-24,1034
-17,-21,1035
-18,-16,1030
-15,-22,1035
-22,-22,1033
-17,-22,1032
-16,-19,1033
-15,-15,1028
-16,-21,1031
-19,-23,1036
-18,-19,1030
-15,-19,1033
-21,-20,1036
-16,-17,1028
-18,-22,1036
-21,-22,1033
-17,-24,1035
-17,-20,1034
-17,-21,1037
-21,-19,1035
-17,-21,1031
-22,-18,1034
-18,-21,1038
-18,-15,1032
-22,-22,1034
-19,-21,1030
-18,-17,1034
-19,-23,1033
-21,-19,1028
-15,-19,1036
-19,-23,1036
-13,-25,1031
-15,-19,1036
-17,-19,1029
-17,-18,1031
-21,-19,1034
-17,-24,1027
-17,-19,1034
-16,-21,1027
-19,-19,1034
-14,-23,1030
-17,-22,1032
-17,-21,1040
-21,-24,1035
-20,-19,1031
-17,-16,1036
-20,-20,1036
-17,-22,1030
-21,-18,1033
-16,-21,1038
-18,-21,1032
-12,-20,1038
-19,-19,1027
-18,-20,1030
-18,-21,1031
-17,-19,1032
-14,-21,1030
-21,-20,1029
-17,-23,1034
-20,-21,1035
-22,-20,1036
-19,-15,1036
-18,-19,1030
-22,-19,1036
-21,-20,1035
-16,-19,1032
-18,-22,1037
-20,-17,1035
-21,-18,1035
-21,-16,1037
-18,-20,1034
-17,-17,1042
-15,-22,1033
-20,-17,1033
-19,-17,1033
-19,-20,1031
-15,-21,1025
-20,-21,1031
-19,-20,1037
-16,-20,1026
-18,-23,1033
-20,-20,1028
-16,-17,1030
-17,-21,1037
-18,-21,1031
-18,-17,1033
-15,-18,1034
-16,-23,1030
-16,-21,1028
-21,-20,1037
-17,-24,1030
-19,-21,1029
-22,-23,1034
-17,-22,1027
-17,-20,1029
-19,-17,1034
-17,-21,1033
-11,-15,1038
-17,-18,1031
-15,-22,1036
-18,-18,1034
-16,-23,1033
-18,-15,1034
-21,-25,1036
-15,-22,1027
-20,-20,1035
-21,-19,1034
-20,-24,1032
-18,-22,1036
-17,-19,1031
-18,-23,1034
-19,-21,1032
-15,-20,1032
-19,-21,1030
-17,-21,1035
-15,-19,1030
-22,-21,1036
-18,-23,1036
-19,-22,1031
-18,-20,1033
-17,-22,1035
-18,-26,1037
-17,-21,1034
-21,-23,1032
-19,-19,1035
-18,-20,1034
-19,-24,1030
-14,-19,1031
-17,-19,1034
-17,-22,1033
-19,-17,1034
-19,-19,1037
-17,-16,1033
-17,-23,1032
-17,-18,1035
-20,-23,1029
-17,-23,1041
-14,-25,1030
-20,-17,1036
-19,-18,1038
-21,-19,1031
-17,-18,1030
-19,-18,1039
-20,-21,1035
-15,-20,1034
-15,-24,1029
-17,-19,1030
-18,-15,1033
-16,-22,1030
-16,-17,1035
-22,-17,1034
-17,-24,1038
-22,-20,1037
-19,-17,1036
-18,-19,1032
-14,-17,1031
-17,-23,1040
-15,-20,1036
-19,-19,1030
-16,-20,1033
-19,-20,1036
-19,-20,1034
-22,-20,1032
-19,-24,1037
-18,-22,1029
-18,-23,1039
-23,-16,1032
-18,-17,1040
-19,-18,1039
-13,-21,1035
-16,-15,1029
-15,-16,1034
-16,-19,1036
-22,-19,1026
-17,-20,1034
-18,-18,1030
-17,-24,1032
-16,-20,1032
-18,-20,1033
-22,-18,1038
-16,-19,1034
-17,-17,1034
-17,-15,1035
-18,-24,1033
-17,-23,1036
-15,-16,1030
-15,-20,1029
-20,-24,1032
-21,-16,1035
-15,-20,1037
-15,-23,1033
-20,-25,1040
-15,-17,1031
-17,-21,1038
-19,-19,1036
-15,-19,1035
-16,-21,1031
-18,-17,1036
-16,-25,1038
-21,-19,1033
-15,-18,1030
-18,-24,1036
-14,-23,1039
-15,-24,1041
-17,-21,1035
-14,-19,1033
-21,-17,1027
-15,-21,1028
-19,-22,1026
-19,-18,1030
-21,-20,1035
-15,-20,1034
-23,-17,1034
-19,-20,1037
-19,-23,1040
-20,-24,1037
-16,-20,1028
-19,-24,1029
-17,-23,1038
-20,-23,1032
-17,-20,1034
-24,-18,1031
-22,-23,1036
-20,-18,1033
-20,-22,1032
-19,-16,1036
-17,-17,1032
-18,-22,1037
-17,-23,1034
-18,-20,1032
-18,-19,1029
-17,-21,1031
-21,-18,1032
-17,-19,1034
-21,-20,1035
-17,-20,1031
-18,-19,1033
-18,-21,1035
-14,-18,1031
-21,-18,1038
-18,-20,1034
-15,-18,1033
-16,-22,1041
-18,-21,1036
-20,-19,1033
-19,-22,1030
-16,-22,1028
-16,-22,1034
-20,-19,1037
-17,-19,1036
-17,-24,1032
-24,-17,1029
-16,-16,1035
-20,-24,1032
-13,-21,1035
-15,-23,1038
-19,-21,1036
-20,-20,1039
-21,-22,1030
-17,-21,1037
-16,-22,1030
-20,-19,1033
-20,-20,1037
-17,-19,1036
-18,-22,1032
-18,-15,1039
-19,-15,1037
-18,-23,1037
-22,-21,1029
-21,-21,1036
-18,-20,1031
-19,-21,1032
-14,-19,1033
-15,-21,1032
-17,-17,1030
-17,-22,1030
-19,-19,1036
-21,-17,1030
-17,-18,1030
-16,-20,1032
-21,-18,1038
-18,-20,1029
-19,-21,1040
-20,-21,1028
-15,-18,1034
-12,-18,1033
-19,-22,1036
-14,-19,1031
-19,-21,1032
-19,-20,1033
-16,-22,1029
-18,-16,1032
-17,-20,1032
-18,-18,1031
-17,-23,1037
-24,-19,1036
-17,-23,1032
-21,-21,1033
-20,-23,1029
-23,-21,1031
-18,-20,1035
-24,-20,1035
-15,-19,1033
-20,-24,1036
-18,-22,1035
-16,-22,1035
-19,-20,1033
-18,-18,1033
-16,-25,1033
-23,-21,1032
-19,-20,1037
-16,-19,1032
-17,-18,1028
-17,-22,1031
-20,-20,1034
-16,-16,1038
-16,-20,1029
-24,-19,1033
-18,-20,1033
-15,-22,1031
-18,-19,1032
-15,-17,1028
-15,-17,1031
-21,-22,1028
-20,-22,1037
-15,-21,1035
-19,-19,1029
-19,-19,1036
-14,-22,1037
-14,-20,1037
-15,-20,1034
-20,-24,1039
-16,-20,1033
-25,-20,1041
-16,-25,1037
-17,-21,1036
-14,-21,1034
-17,-19,1029
-15,-20,1037
-18,-19,1029
-19,-21,1036
-18,-17,1032
-18,-19,1032
-14,-18,1035
-17,-24,1030
-18,-17,1029
-15,-20,1032
-17,-18,1033
-21,-19,1033
-20,-20,1034
-17,-21,1037
-14,-18,1029
-17,-25,1035
-19,-18,1032
-20,-23,1032
-18,-20,1034
-17,-22,1030
-18,-19,1032
-21,-21,1033
-21,-20,1034
-18,-19,1035
-17,-25,1034
-17,-24,1036
-18,-18,1033
-16,-17,1036
-16,-19,1034
-18,-21,1036
-21,-26,1028
-20,-19,1035
-20,-20,1032
-18,-22,1031
-16,-19,1037
-21,-20,1033
-18,-20,1033
-17,-19,1032
-17,-25,1036
-17,-19,1033
-16,-19,1035
-16,-23,1034
-23,-19,1041
-11,-18,1030
-16,-24,1037
-16,-17,1039
-18,-20,1029
-13,-18,1036
-17,-21,1032
-19,-20,1033
-21,-22,1031
-14,-23,1030
-20,-19,1033
-18,-21,1034
-16,-21,1031
-20,-19,1031
-15,-21,1034
-14,-20,1032
-21,-19,1036
-20,-23,1034
-17,-21,1038
-21,-17,1035
-12,-19,1033
-17,-20,1034
-20,-21,1036
-14,-18,1035
-14,-21,1035
-19,-20,1035
-15,-15,1033
-20,-20,1032
-15,-20,1033
-16,-24,1032
-13,-21,1035
-14,-22,1034
-18,-18,1032
-12,-18,1035
-16,-21,1032
-18,-23,1035
-19,-22,1030
-24,-18,1033
-18,-19,1034
-16,-20,1034
-20,-18,1030
-15,-18,1040
-18,-19,1035
-16,-22,1033
-17,-24,1037
-18,-23,1032
-17,-21,1035
-18,-18,1039
-19,-25,1037
-16,-19,1033
-17,-21,1031
-20,-20,1031
-14,-20,1031
-16,-21,1037
-20,-19,1035
-17,-22,1029
-15,-22,1030
-18,-21,1038
-15,-18,1032
-20,-19,1033
-18,-24,1035
-18,-20,1035
-18,-22,1037
-20,-21,1029
-16,-23,1036
-18,-20,1032
-11,-19,1035
-15,-17,1031
-18,-22,1033
-15,-23,1035
-12,-18,1036
-18,-19,1029
-18,-21,1034
-21,-24,1034
-16,-22,1030
-17,-18,1034
-17,-20,1037
-21,-18,1041
-13,-23,1037
-17,-19,1035
-18,-18,1033
-22,-20,1036
-19,-20,1038
-16,-21,1033
-16,-18,1034
-19,-19,1029
-17,-23,1029
-15,-19,1031
-16,-17,1032
-17,-19,1033
-15,-24,1028
-14,-21,1035
-18,-16,1028
-20,-19,1037
-17,-17,1031
-17,-18,1032
-17,-18,1031
-20,-18,1033
-22,-23,1036
-20,-21,1028
-17,-20,1035
-18,-22,1031
-17,-17,1033
-20,-18,1030
-13,-17,1034
-18,-19,1033
-20,-24,1035
-16,-17,1029
-18,-24,1034
-16,-20,1035
-18,-20,1029
-18,-20,1037
-16,-20,1037
-14,-16,1037
-17,-17,1031
-16,-20,1033
-16,-19,1033
-20,-18,1036
-17,-21,1036
-15,-23,1029
-20,-21,1028
-21,-21,1032
-18,-17,1038
-20,-20,1034
-22,-20,1031
-21,-22,1032
-14,-22,1033
-14,-17,1034
-22,-23,1033
-18,-19,1033
-18,-24,1034
-15,-17,1032
-17,-25,1034
-16,-25,1030
-17,-22,1034
-18,-16,1036
-20,-23,1031
-18,-20,1034
-17,-20,1038
-17,-20,1036
-18,-19,1030
-22,-19,1036
-18,-21,1037
-20,-19,1039
-20,-19,1030
-18,-20,1031
-19,-22,1030
-19,-19,1037
-18,-18,1031
-16,-24,1036
-16,-22,1031
-14,-23,1034
-20,-23,1034
-20,-18,1034
-20,-18,1030
-19,-24,1033
-17,-21,1032
-16,-28,1036
-21,-26,1033
-22,-22,1032
-16,-26,1034
-19,-23,1039
-17,-26,1036
-17,-24,1036
-19,-26,1031
-20,-26,1033
-16,-24,1039
-16,-27,1034
-18,-31,1034
-23,-22,1033
-20,-22,1032
-17,-26,1041
-16,-25,1030
-24,-23,1035
-20,-25,1030
-13,-29,1033
-19,-24,1031
-14,-27,1036
-20,-27,1034
-27,-29,1054
-20,-22,1033
-17,-25,1032
-17,-28,1034
-24,-26,1029
-21,-28,1031
-18,-25,1031
-16,-22,1034
-19,-26,1032
-24,-25,1034
-20,-27,1038
-17,-21,1029
-17,-28,1030
-17,-25,1031
-18,-25,1033
-18,-23,1029
-21,-27,1032
-21,-23,1037
-17,-25,1028
-17,-25,1036
-17,-27,1034
-18,-23,1038
-22,-24,1031
-14,-27,1036
-21,-25,1033
-20,-25,1029
-18,-20,1038
-17,-28,1032
-22,-27,1037
-20,-23,1037
-22,-22,1035
-20,-24,1037
-19,-27,1031
-15,-23,1028
-19,-30,1032
-20,-27,1033
-18,-27,1034
-18,-25,1031
-19,-26,1032
-18,-23,1030
-17,-23,1034
-20,-21,1035
-19,-22,1038
-18,-24,1030
-20,-24,1035
-20,-24,1030
-18,-25,1031
-19,-22,1031
-17,-26,1027
-18,-26,1032
-20,-26,1029
-15,-24,1030
-21,-23,1032
-20,-26,1036
-20,-26,1037
-18,-23,1036
-17,-23,1033
-15,-21,1033
-12,-23,1039
-15,-24,1034
-22,-24,1033
-17,-26,1032
-21,-27,1040
-20,-25,1028
-18,-24,1036
-18,-26,1036
-17,-26,1032
-18,-26,1027
-22,-24,1032
-16,-30,1038
-15,-24,1039
-18,-26,1035
-17,-23,1029
-19,-22,1031
-16,-20,1031
-19,-27,1032
-18,-25,1035
-20,-29,1032
-15,-27,1038
-20,-24,1032
-18,-25,1030
-20,-24,1033
-22,-24,1051
-16,-21,1033
-17,-22,1026
-19,-29,1032
-18,-17,1034
-16,-24,1037
-16,-22,1034
-19,-24,1036
-15,-23,1042
-22,-26,1028
-19,-29,1033
-19,-25,1026
-15,-29,1038
-17,-25,1033
-14,-25,1029
-18,-18,1030
-13,-22,1027
-13,-22,1030
-11,-24,1035
-21,-23,1032
-17,-24,1033
-20,-21,1031
-14,-25,1035
-22,-25,1030
-19,-24,1029
-18,-24,1037
-21,-22,1036
-18,-22,1030
-16,-26,1040
-21,-29,1036
-19,-24,1031
-17,-25,1031
-23,-24,1028
-24,-26,1033
-20,-26,1031
-17,-28,1028
-20,-25,1029
-17,-29,1035
-22,-29,1028
-16,-24,1030
-21,-21,1029
-22,-22,1042
-19,-27,1033
-20,-22,1029
-14,-20,1041
-17,-30,1032
-19,-20,1040
-13,-25,1035
-13,-22,1036
-18,-23,1033
-15,-24,1038
-14,-22,1032
-17,-26,1038
-21,-26,1030
-16,-29,1037
-18,-23,1041
-21,-29,1032
-22,-27,1042
-21,-28,1031
-18,-28,1028
-19,-21,1030
-17,-27,1029
-18,-22,1032
-22,-28,1031
-23,-25,1036
-13,-21,1031
-18,-26,1034
-16,-28,1032
-18,-22,1037
-19,-26,1040
-16,-25,1035
-17,-27,1026
-20,-27,1030
-17,-26,1029
-17,-20,1033
-16,-25,1035
-17,-20,1035
-19,-26,1039
-20,-22,1030
-13,-26,1031
-24,-25,1030
-18,-21,1032
-20,-23,1032
-16,-24,1036
-18,-21,1032
-18,-20,1031
-18,-27,1032
-20,-20,1026
-18,-24,1031
-18,-21,1034
-16,-27,1033
-21,-27,1039
-16,-23,1034
-19,-29,1036
-17,-28,1031
-20,-24,1037
-17,-27,1031
-19,-23,1040
-22,-19,1033
-18,-23,1028
-18,-27,1032
-15,-21,1033
-19,-20,1034
-19,-24,1039
-24,-28,1034
-17,-20,1032
-21,-25,1038
-21,-22,1037
-18,-23,1037
-24,-26,1029
-16,-24,1031
-23,-27,1032
-20,-23,1036
-21,-25,1041
-20,-22,1025
-14,-25,1035
-16,-27,1029
-18,-26,1040
-22,-27,1038
-17,-27,1037
-18,-21,1039
-18,-25,1039
-16,-24,1031
-22,-23,1029
-17,-26,1033
-15,-25,1030
-16,-16,1030
-19,-24,1033
-20,-22,1036
-16,-25,1038
-16,-21,1031
-19,-30,1038
-16,-25,1032
-19,-30,1032
-18,-30,1030
-16,-27,1037
-20,-23,1039
-17,-24,1034
-22,-22,1026
-18,-23,1034
-19,-26,1035
-22,-22,1029
-17,-26,1032
-19,-25,1031
-19,-21,1033
-17,-26,1033
-20,-27,1032
-19,-28,1031
-20,-26,1035
-18,-22,1033
-19,-26,1032
-20,-23,1031
-16,-23,1031
-18,-30,1033
-23,-28,1031
-14,-26,1029
-18,-24,1032
-17,-20,1035
-18,-27,1029
-20,-24,1039
-16,-24,1038
-21,-21,1030
-22,-24,1039
-16,-26,1031
-19,-28,1029
-21,-23,1036
-18,-25,1031
-20,-26,1031
-15,-23,1030
-15,-19,1031
-19,-29,1034
-16,-25,1035
-16,-25,1040
-21,-23,1028
-21,-27,1033
-20,-27,1033
-24,-25,1032
-18,-20,1034
-14,-25,1033
-13,-24,1031
-19,-22,1038
-21,-24,1034
-20,-23,1033
-21,-25,1035
-14,-22,1031
-22,-26,1029
-21,-31,1038
-16,-21,1031
-17,-30,1030
-21,-25,1027
-20,-25,1024
-21,-25,1037
-13,-24,1034
-20,-25,1034
-26,-25,1036
-18,-23,1026
-20,-25,1030
-15,-23,1036
-22,-27,1029
-16,-22,1038
-20,-27,1033
-14,-22,1032
-18,-24,1033
-22,-26,1028
-18,-28,1035
-14,-28,1030
-13,-25,1024
-17,-18,1038
-14,-19,1033
-20,-29,1034
-20,-22,1030
-21,-24,1032
-20,-21,1030
-24,-28,1039
-19,-21,1031
-20,-29,1033
-16,-28,1034
-21,-28,1033
-18,-27,1030
-15,-22,1035
-19,-25,1030
-20,-28,1032
-20,-28,1030
-21,-23,1027
-19,-24,1033
-19,-25,1028
-18,-26,1038
-15,-23,1034
-20,-23,1031
-14,-23,1031
-21,-24,1037
-19,-24,1034
-16,-23,1037
-19,-23,1032
-18,-23,1034
-20,-27,1033
-19,-26,1033
-24,-22,1028
-19,-25,1035
-20,-26,1033
-19,-25,1030
-22,-23,1034
-15,-25,1030
-17,-20,1040
-16,-24,1034
-19,-23,1032
-20,-19,1030
-18,-24,1028
-19,-24,1034
-19,-24,1035
-16,-23,1031
-17,-27,1035
-20,-29,1026
-17,-26,1033
-19,-26,1028
-18,-21,1033
-22,-28,1025
-22,-20,1034
-16,-25,1029
-19,-21,1032
-21,-27,1031
-14,-25,1031
-17,-24,1032
-17,-24,1029
-15,-25,1030
-22,-24,1028
-21,-26,1035
-18,-25,1029
-22,-27,1033
-15,-23,1036
-16,-23,1032
-16,-26,1030
-23,-24,1032
-19,-22,1031
-23,-22,1030
-19,-22,1034
-22,-29,1042
-17,-24,1032
-22,-25,1030
-18,-25,1032
-23,-22,1031
-20,-30,1035
-17,-23,1031
-22,-24,1038
-22,-24,1038
-21,-22,1029
-19,-26,1034
-21,-23,1033
-21,-23,1031
-18,-26,1027
-22,-25,1027
-19,-23,1033
-21,-31,1031
-20,-28,1029
-20,-20,1036
-17,-23,1031
-24,-29,1033
-21,-23,1030
-21,-27,1032
-22,-33,1029
-25,-26,1031
-20,-26,1035
-21,-26,1035
-22,-24,1032
-20,-24,1032
-18,-24,1038
-15,-30,1036
-19,-25,1032
-20,-26,1034
-23,-25,1035
-17,-26,1040
-24,-21,1033
-21,-25,1035
-21,-25,1035
-19,-26,1028
-20,-23,1029
-21,-25,1031
-19,-26,1041
-24,-22,1028
-22,-21,1032
-20,-24,1029
-22,-21,1032
-22,-25,1038
-23,-26,1035
-18,-25,1026
-19,-24,1041
-20,-27,1035
-22,-25,1041
-22,-26,1034
-20,-27,1031
-21,-29,1040
-21,-20,1031
-18,-21,1032
-23,-25,1040
-20,-30,1029
-19,-18,1038
-19,-24,1032
-21,-28,1038
-21,-29,1034
-20,-30,1031
-20,-27,1037
-22,-31,1029
-21,-29,1039
-20,-24,1030
-21,-26,1031
-25,-27,1036
-20,-24,1027
-21,-25,1033
-21,-25,1030
-17,-27,1030
-20,-25,1033
-21,-21,1032
-19,-27,1032
-22,-27,1031
-19,-27,1030
-24,-24,1030
-19,-26,1034
-21,-29,1028
-17,-26,1032
-21,-29,1029
-16,-26,1036
-23,-28,1035
-20,-27,1033
-20,-25,1033
-20,-27,1026
-20,-25,1035
-18,-30,1028
-21,-27,1033
-20,-25,1039
-15,-24,1034
-23,-25,1031
-21,-20,1030
-20,-22,1027
-17,-24,1034
-21,-26,1037
-17,-27,1032
-20,-26,1032
-15,-25,1030
-24,-25,1033
-19,-25,1037
-16,-25,1035
-20,-30,1035
-16,-21,1030
-18,-29,1034
-21,-26,1028
-23,-27,1038
-20,-21,1032
-16,-23,1035
-24,-21,1032
-22,-28,1032
-22,-29,1031
-18,-25,1036
-16,-26,1030
-23,-27,1038
-22,-21,1038
-20,-26,1035
-22,-28,1029
-19,-29,1033
-21,-27,1031
-23,-28,1032
-20,-24,1033
-18,-24,1033
-21,-24,1030
-17,-29,1032
-20,-26,1032
-19,-26,1034
-21,-23,1033
-21,-26,1029
-22,-24,1030
-21,-24,1030
-24,-29,1030
-18,-26,1034
-19,-27,1038
-21,-26,1030
-20,-27,1034
-22,-25,1032
-19,-24,1033
-24,-27,1027
-20,-25,1033
-22,-25,1032
-18,-26,1032
-21,-25,1030
-21,-22,1034
-19,-25,1034
-22,-28,1033
-20,-24,1036
-22,-25,1032
-21,-23,1034
-22,-23,1035
-22,-26,1035
-17,-28,1034
-20,-24,1032
-22,-27,1032
-22,-25,1030
-21,-27,1029
-21,-26,1026
-21,-27,1030
-19,-20,1035
-21,-25,1037
-22,-25,1029
-23,-27,1033
-20,-26,1035
-19,-21,1033
-20,-23,1032
-24,-25,1026
-16,-28,1033
-22,-28,1036
-22,-24,1030
-22,-26,1036
-24,-24,1032
-20,-26,1031
-19,-28,1027
-18,-26,1026
-22,-28,1033
-22,-27,1033
-22,-27,1035
-22,-24,1034
-18,-26,1034
-22,-27,1038
-22,-25,1034
-23,-22,1046
-25,-30,1042
-22,-17,1033
-20,-20,1028
-22,-29,1027
-20,-23,1030
-19,-28,1029
-19,-22,1031
-26,-26,1034
-23,-25,1037
-19,-22,1033
-18,-26,1029
-22,-32,1036
-17,-21,1033
-21,-24,1029
-21,-23,1035
-19,-25,1035
-20,-24,1036
-21,-21,1037
-20,-28,1028
-21,-25,1033
-22,-27,1030
-21,-27,1028
-22,-23,1034
-21,-25,1032
-19,-29,1034
-25,-24,1031
-26,-24,1033
-22,-25,1034
-22,-25,1035
-20,-28,1039
-21,-26,1039
-19,-26,1036
-19,-22,1033
-22,-27,1029
-18,-27,1031
-19,-22,1037
-23,-26,1036
-16,-26,1030
-20,-28,1034
-19,-25,1037
-19,-25,1036
-16,-25,1029
-20,-24,1028
-18,-27,1034
-23,-24,1033
-25,-23,1034
-23,-24,1032
-18,-24,1032
-19,-26,1032
-20,-22,1034
-17,-25,1031
-20,-24,1031
-22,-28,1034
-21,-23,1030
-21,-24,1036
-17,-24,1032
-16,-21,1030
-20,-26,1030
-21,-24,1037
-23,-25,1031
-19,-24,1030
-22,-26,1037
-19,-22,1036
-23,-26,1031
