field1,field2,field3
-9,-7,1032
-8,-9,1032
-7,-8,1035
-6,-7,1037
-4,-8,1036
-6,-11,1029
-9,-9,1032
-6,-5,1032
-11,1,1029
-14,-7,1037
-13,-9,1029
-8,-2,1030
-10,-9,1036
-8,-9,1035
-14,-5,1041
-9,-4,1044
-10,-8,1035
-6,-3,1032
-8,-11,1035
-16,-3,1032
-11,-12,1035
-7,-8,1032
-11,-7,1032
-3,-8,1031
-14,-4,1031
-17,-11,1031
-14,-4,1036
-12,-4,1037
-14,-9,1037
-9,-5,1032
-5,-4,1037
-12,-1,1037
-12,-5,1030
-12,-7,1029
-10,-7,1032
-12,-10,1029
-14,-13,1036
-6,-4,1035
-14,-6,1037
-15,-6,1036
-8,-5,1031
-12,-9,1039
-12,-5,1038
-15,-6,1033
-11,-6,1037
-12,-5,1031
-12,-7,1033
-8,-6,1033
-11,-3,1030
-11,-8,1029
-13,-4,1034
-12,-5,1038
-13,-9,1032
-9,-4,1030
-12,-5,1033
-9,-4,1038
-11,-10,1033
-10,-5,1039
-6,0,1030
-10,-5,1041
-12,-7,1041
-13,-5,1036
-10,-4,1035
-12,-8,1034
-7,-4,1036
-13,-11,1038
-11,-6,1039
-8,-6,1032
-10,-7,1030
-7,-6,1032
-11,-5,1038
-9,-6,1029
-8,-6,1031
-11,-6,1032
-8,-8,1031
-12,-5,1035
-12,-4,1038
-9,-7,1030
-12,-10,1037
-10,-7,1032
-6,0,1039
-10,-4,1031
-13,-2,1037
-8,-9,1030
-10,-4,1035
-9,-4,1029
-10,-11,1033
-8,-1,1034
-13,-6,1034
-11,-6,1031
-10,-6,1035
-10,-9,1038
-9,-5,1034
-15,-10,1035
-16,-5,1032
-11,-5,1035
-14,-4,1033
-10,-5,1034
-11,-6,1031
-9,-8,1033
-7,-7,1030
-14,-7,1031
-10,-9,1038
-16,-1,1035
-10,-7,1034
-12,-2,1034
-8,-8,1034
-11,0,1035
-10,-6,1039
-10,-6,1041
-11,-7,1034
-11,-6,1035
-8,-10,1036
-9,-4,1034
-9,-7,1032
-14,-8,1037
-14,-4,1038
-9,-9,1033
-6,-7,1040
-15,-2,1035
-12,-1,1031
-10,-2,1034
-10,-9,1039
-12,0,1032
-12,-8,1035
-7,-4,1037
-10,-4,1029
-14,-9,1036
-13,1,1031
-13,-3,1035
-9,-6,1036
-12,-7,1036
-11,-4,1033
-14,1,1038
-8,-6,1033
-10,-1,1031
-13,-3,1034
-6,-4,1032
-11,-4,1036
-13,-3,1035
-12,-9,1035
-11,-2,1042
-9,-2,1029
-6,-3,1037
-12,-7,1037
-12,-3,1032
-14,-3,1038
-8,-8,1034
-14,-5,1039
-14,-3,1028
-15,-7,1036
-13,-6,1034
-9,0,1038
-10,-7,1021
-10,-8,1035
-11,-2,1033
-13,-8,1037
-12,-6,1032
-10,-6,1035
-13,-6,1036
-9,-7,1031
-13,-8,1032
-7,-2,1033
-8,-4,1030
-11,-6,1034
-11,-5,1037
-13,-5,1032
-9,-5,1037
-8,-6,1032
-10,-9,1035
-17,-1,1039
-9,-13,1033
-8,-8,1032
-7,-7,1036
-5,-11,1034
-9,-8,1033
-14,-6,1027
-10,-2,1033
-6,-4,1031
-10,-9,1032
-8,-5,1036
-6,-7,1038
-8,-9,1029
-14,-3,1035
-12,-1,1035
-10,-16,1033
-8,-3,1035
-11,-6,1029
-11,-7,1040
-8,-6,1039
-9,-2,1028
-12,-7,1031
-10,-4,1040
-9,-6,1035
-10,-3,1034
-10,-5,1040
-11,-5,1030
-12,-6,1037
-7,-5,1035
-13,-4,1037
-7,-6,1031
-12,-5,1036
-10,-6,1031
-11,-8,1031
-10,-4,1039
-11,-11,1037
-10,-7,1038
-13,-2,1029
-9,-8,1033
-9,-10,1033
-15,-3,1029
-8,-10,1035
-12,-3,1029
-17,-1,1030
-8,-4,1036
-7,-7,1035
-10,-1,1036
-11,-5,1037
-14,-1,1031
-12,-1,1034
-12,-3,1031
-6,-6,1032
-13,-7,1033
-9,-2,1029
-12,-7,1037
-13,-1,1030
-9,-6,1036
-7,-6,1043
-10,-12,1027
-6,-6,1031
-10,-4,1033
-8,-6,1038
-7,-5,1042
-8,-6,1033
-5,-4,1033
-8,-6,1040
-9,-1,1033
-8,-2,1039
-9,-6,1034
-13,-8,1038
-7,-5,1035
-11,0,1030
-12,-4,1029
-11,-2,1042
-11,-6,1024
-9,-5,1038
-13,-2,1033
-12,-5,1030
-11,-2,1038
-7,-2,1033
-11,-6,1041
-15,0,1039
-11,-6,1032
-6,-1,1036
-10,-5,1027
-9,-5,1035
-11,-2,1036
-10,-9,1032
-11,-6,1035
-10,-6,1031
-8,-1,1031
-7,-4,1031
-8,-6,1036
-8,-5,1033
-11,-4,1033
-11,-3,1037
-8,-7,1034
-10,-6,1036
-11,-8,1029
-12,-6,1038
-11,-1,1037
-8,-4,1031
-12,-8,1034
-13,-10,1038
-10,-5,1025
-9,-5,1035
-10,-7,1034
-12,-6,1032
-12,-4,1030
-7,-5,1029
-13,-5,1033
-11,-1,1035
-8,-2,1032
-8,-9,1034
-10,-4,1036
-10,-4,1041
-8,-2,1032
-11,-8,1039
-9,-4,1029
-12,-9,1032
-6,-7,1027
-13,-4,1035
-10,-9,1031
-8,-9,1037
-11,-7,1036
-11,-8,1032
-4,-9,1028
-9,-7,1035
-11,-5,1033
-12,0,1031
-8,-4,1037
-11,-8,1030
-7,-1,1037
-13,-1,1035
-8,-2,1028
-11,-6,1030
-11,-5,1033
-6,-4,1037
-12,-3,1038
-10,-5,1036
-12,-2,1038
-8,-6,1042
-14,-7,1032
-8,-10,1030
-6,-3,1027
-11,-3,1030
-10,-11,1035
-8,-6,1036
-9,-7,1034
-10,-2,1037
-13,-6,1036
-9,-2,1026
-8,-5,1032
-9,-4,1038
-12,-5,1033
-8,-9,1044
-8,-7,1035
-14,-6,1027
-7,-7,1034
-11,-8,1041
-12,-4,1040
-13,-5,1037
-11,-8,1040
